,id,tweet,subtask_a
1,86426,@USER @USER Πηγαίνετε σπίτι είστε μεθυσμένοι !!! @USER #MAGA # Trump2020 👊🇺🇸👊 URL,OFF
2,90194,@USER Κάποιος έπρεπε να πάρει &quot;αυτό το σκατά σε ένα ηφαίστειο. 😂&quot;,OFF
3,16820,Οι @USER Liberal είναι όλοι Kookoo !!!,OFF
4,62688,@USER @USER Ωχ όχι! Σκατά σκατά.,OFF
5,43605,"Το @USER μιλούσε κυριολεκτικά για αυτό το lol, όλα τα μαζικά γυρίσματα όπως αυτά έχουν ρυθμιστεί. είναι η προπαγάνδα που μας διαιρεί σε μεγάλα ζητήματα όπως ο έλεγχος όπλων και η τρομοκρατία",OFF
6,97670,Το @USER Canada δεν χρειάζεται άλλο CUCK! Έχουμε ήδη αρκετά #LooneyLeft #Liberals f ** king up τη μεγάλη μας χώρα! #Qproofs #TrudeauMustGo,OFF
7,77444,@USER είστε ψεύτικος διεφθαρμένος προδότης !!! Κανείς δεν θέλει να ακούσει πια τα ψέματά σου !!! #DeepStateCorruption URL,OFF
8,52415,@USER @USER @USER έλεγχος όπλου! Αυτά ζητούν όλα αυτά τα παιδιά!,OFF
9,45157,@USER @USER @USER @USER LOL !!! Ρίχνει τη σημαία BULLSHIT σε τέτοιες ανοησίες !! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL,OFF
10,13384,@USER @USER Κάτι σαν όταν οι συντηρητικοί θέλουν να συσχετίσουν όλους στα αριστερά τους ως μέλη της κομμουνιστικής αντιφατικής;,OFF
11,82776,@USER @USER Το σκατά συμβαίνει στους ανθρώπους; Υπάρχει το ανδρικό δωμάτιο και το γυναικείο δωμάτιο Επιλέξτε ένα και κολλήστε το 🤔,OFF
12,42992,"@USER Tbh αυτές τις μέρες απλά δεν μου αρέσουν οι άνθρωποι γενικά, απλά δεν επικοινωνώ με ανθρώπους αυτές τις μέρες μόνο μια ενόχληση ..",OFF
13,28414,@USER @USER @USER Αυτή; Σε ποιον αναφέρεστε; Χίλαρι; Ξέρετε τι είναι κουραστικό; Οι υποστηρικτές του Bernie χτυπούν τη Χίλαρι Κλίντον. Είναι μια πραγματική Δημοκρατική που μαζεύει χρήματα για το Δημοκρατικό Κόμμα και δεν τους χάνει. Έχει ένα θετικό μήνυμα. Ποιος λοιπόν χωρίζει την αριστερά;,OFF
14,54920,Το μόνο πράγμα που έχουν οι Δημοκρατικοί είναι ψέματα και καθυστερούν για να αποτρέψουν τον Τραμπ από το να είναι # Πρόεδρος. Τι έχουν κάνει για εσάς τον τελευταίο καιρό. #Trump #Kavanaugh #MAGA #DEMSUCK,OFF
15,56392,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Δεν είσαι πολύ έξυπνος, έτσι; Γιατί πιστεύετε ότι η καταδίκη του στρατηγού Flynn συνεχίζει να προγραμματίζεται εκ νέου; Διεύθυνση URL",OFF
16,86735,@USER @USER @USER Αυτό αναμένεται εάν καταπραΰνετε τους βίαιους αριστερούς / τρομοκράτες. #KavanaughΕπιβεβαίωση # ξύπνησε,OFF
17,95686,4 στους 10 Βρετανούς είναι βασικά πλήρεις ρατσιστές. 4 στους 10 ψηφοφόρους ψηφίζουν τους Συντηρητικούς. Σύμπτωση!???!???,OFF
18,71446,@USER Γαμώτο,OFF
19,23958,@USER @USER Το σύστημα φυλακών είναι τόσο γαμημένο. Γιατί εξακολουθούν να ξεφεύγουν με το ενδεχόμενο δολοφονίας με πρόθεση εάν οι κρατούμενοι πεθάνουν στον τυφώνα; Το έκαναν στη Λουιζιάνα και όπως 500 κρατούμενοι εξαφανίστηκαν &quot;&quot;,OFF
20,28195,@USER @USER Είναι άχρηστη. Προσπάθειες να κάνουμε το σωστό αλλά ποτέ δεν ακολουθείται.,OFF
21,56117,Το @USER Grateful Trump δεν έχει σκύλο στον Λευκό Οίκο. Είναι ένας σκληρός άνθρωπος.,OFF
22,67757,Το @USER Trump κλωτσάει το πισινό - είναι τόσο διασκεδαστικό.,OFF
23,12681,@USER @USER @USER Είναι χαζός και χαζός σε έναν πρόεδρο. Είναι δύο για ένα.,OFF
24,82904,@USER Και αυτό από τον κλόουν που πρέπει να είναι στη φυλακή;,OFF
25,63236,@USER Αυτό είναι επειδή είσαι γέρος.,OFF
26,77665,@USER @USER @USER Είναι αποφρακτικοί. Αντι-αμερικανικό. Φαρισαίοι Ρωτήστε τους τι τρέχουν και δεν παίρνετε τίποτα. Μάγκα!,OFF
27,83484,"@USER Εννοώ ότι λειτούργησε για τον έλεγχο των όπλων, σωστά; Διεύθυνση URL",OFF
28,74932,@USER Πίνει τόσο πολύ koolaid που έχει φουσκώσει.,OFF
29,91252,@USER @USER @USER @USER Το Ίδρυμα την άφησε να κάνει tweet μόνο όταν συμπεριφέρεται. Είναι ένα γλείψιμο παραθύρου !!!!,OFF
30,25440,WTC Αυτή είναι μια απειλή !!! .. @ USER #Maga #QAnon #WakeUpAmerica URL,OFF
31,81613,"@USER @USER @USER Παρακαλώ καλέστε το Trump για ό, τι είναι ... μια ΝΑΡΚΙΣΤΙΚΗ ΚΟΙΝΩΝΙΑ!",OFF
32,82333,@USER Γεια σου,OFF
33,12609,@USER Καλή κίνηση .... είναι ο μεγάλος χαμένος,OFF
34,13017,"@USER είναι κυριολεκτικά μια αφήγηση που είναι ισοδύναμη με τη διάτρηση των Ναζί, το antifa, είναι δύο πλευρές του ίδιου νομίσματος. να το κάνεις αυτό, και αυτή η σύγκριση ωφελεί το &quot;",OFF
35,18129,"@USER @USER Υπάρχουν πολλά χαζά επιχειρήματα για τον έλεγχο των όπλων, αλλά αυτό μπορεί να είναι το πιο χαζή και πιο συνηθισμένο.",OFF
36,70380,@USER @USER @USER παρακαλώ μην με σκοτώσετε. Αντίφα από την άλλη ...,OFF
37,12108,@USER @USER Είναι μια άσχημη μαύρη καρδιά troll URL,OFF
38,14726,@USER Μην πιστεύετε τη διαφημιστική εκστρατεία.,OFF
39,74358,@USER @USER Έχουμε σωθεί από εσάς! Μάγα!,OFF
40,82599,@USER Μπορείτε πιθανώς να φανταστείτε όλες τις νιφάδες χιονιού SJW που δεν αισθάνονται ασφαλείς &quot;να εργάζονται όπου μπορεί να υπάρχουν συντηρητικοί που παραμονεύουν στις σκιές. Οι συντηρητικοί είναι τώρα οι Ruskies του 21ου αιώνα.&quot;,OFF
41,40212,@USER Όλα αυτά καταλαβαίνω n καταρατώ αυτούς τους απεχθέντες που σας διαγράφουν IG χωρίς λόγο ... URL,OFF
42,78367,@USER SJSHSJ ΠΟΥ ΕΙΝΑΙ Η ΕΡΓΑΣΙΑ ΜΟΥ,OFF
43,66596,@USER @USER @USER Τι μέρος ΔΕΝ ΣΥΛΛΟΓΕΣ δεν παίρνετε ;;; Αυτός είναι ο λόγος για τον οποίο είστε δογματοκράτης,OFF
44,70999,"@USER εάν ο λόγος για τις παράνομες αξίες των Φαρακανών είναι επειδή είναι μαύρος ή μουσουλμάνος, αυτός θα ήταν λόγος να τον απαξιώσετε. Πιστεύω ότι οι παράνομες αξίες του είναι απλώς αποτέλεσμα κακού χαρακτήρα, όπως οι υποστηρικτές του! &quot;",OFF
45,36026,@USER Αφήστε τους αριστερούς δημοκράτες να ταραχήσουν στους δρόμους με τους αντιπάλους τους.,OFF
46,29439,Το @USER @USER ANTIFA δεν δίνει απειλές θανάτου στον καθηγητή Ford ή δεν απειλεί τη βία εάν ο υποψήφιος τους χάσει ή κατηγορηθεί ο Spanky.,OFF
