,Unnamed: 0,id,tweet,subtask_a
0,1,86426,"@USER @USER Gå hjem, du er fuld !!! @USER #MAGA # Trump2020 👊🇺🇸👊 URL",OFF
1,2,90194,@USER En person burde have taget &quot;dette stykke lort til en vulkan. 😂&quot;,OFF
3,4,62688,@USER @USER Åh nej! Hård lort.,OFF
5,6,97670,@USER Canada har ikke brug for endnu et CUCK! Vi har allerede nok #LooneyLeft #Liberals til at konge vores store land! #Qproofs #TrudeauMustGo,OFF
6,7,77444,@USER du er en liggende korrupt forræder !!! Ingen vil høre mere om dine løgne !!! #DeepStateCorruption URL,OFF
7,8,52415,"@USER @USER @USER pistolkontrol! Det er alt, hvad disse børn beder om!",OFF
9,10,13384,@USER @USER Sådan ligesom når konservative ønsker at knytte alle til deres venstre side som kommunistiske antifa-medlemmer?,OFF
12,13,28414,"@USER @USER @USER Hun? Hvem henviser du til? Hillary? Ved du hvad der er trættende? Bernie-fans støtter Hillary Clinton. Hun er en faktisk demokrat, der samler penge til det demokratiske parti og ikke baserer dem. Hun har en positiv besked. Så hvem deler venstresiden?",OFF
19,20,28195,"@USER @USER Hun er ubrugelig. Forsøg på at gøre det rigtige, men følger aldrig igennem.",OFF
20,21,56117,@USER Taknemmelig Trump har ikke en hund i Det Hvide Hus. Han er en grusom mand.,OFF
22,23,12681,@USER @USER @USER Han er stum og dummere i én præsident. Det er en to for én.,OFF
23,24,82904,"@USER Og dette fra den klovn, der skulle være i fængsel?",OFF
25,26,77665,"@USER @USER @USER De er obstruktionister. Anti-amerikansk. Farisæerne. Spørg dem, hvad de kører på, og du får intet. Maga!",OFF
29,30,25440,WTC Dette er en trussel !!! .. @ USER #Maga #QAnon #WakeUpAmerica URL,OFF
32,33,12609,@USER Godt træk .... han er den store taber,OFF
36,37,12108,@USER @USER Hun er en grim sorthjertet trold-URL,OFF
37,38,14726,@USER Tro ikke den hype.,OFF
54,55,84102,@USER Chelsea er lige så skør som hendes mor,OFF
57,58,98992,"@USER @USER Og alligevel bar millioner af tilladelser, der indeholdt mennesker, lovligt skjulte skydevåben samme dag og gjorde ikke skade på sig selv eller nogen anden. Men alligevel ønsker de at have stærkere kanonkontrol. Idioter! 🤨 Vores vidunderlige medier er nødt til at hype hændelser, der passer til deres dagsorden.",OFF
59,60,33853,"@USER @USER @USER Bullshit! Forordninger er gode, fordi det forhindrer de konservative fra at stribe vores land ind i afgrunden",OFF
