,id,tweet,subtask_a
1,90194,@USER @USER Πηγαίνετε σπίτι είστε μεθυσμένοι !!! @USER #MAGA # Trump2020 👊🇺🇸👊 URL,OFF
2,62688,@USER Κάποιος έπρεπε να πάρει &quot;αυτό το σκατά σε ένα ηφαίστειο. 😂&quot;,OFF
3,97670,Οι @USER Liberal είναι όλοι Kookoo !!!,OFF
4,77444,@USER @USER Ωχ όχι! Σκατά σκατά.,OFF
5,52415,"Το @USER μιλούσε κυριολεκτικά για αυτό το lol, όλα τα μαζικά γυρίσματα όπως αυτά έχουν ρυθμιστεί. είναι η προπαγάνδα που μας διαιρεί σε μεγάλα ζητήματα όπως ο έλεγχος όπλων και η τρομοκρατία",OFF
6,13384,Το @USER Canada δεν χρειάζεται άλλο CUCK! Έχουμε ήδη αρκετά #LooneyLeft #Liberals f ** king up τη μεγάλη μας χώρα! #Qproofs #TrudeauMustGo,OFF
7,28414,@USER είστε ψεύτικος διεφθαρμένος προδότης !!! Κανείς δεν θέλει να ακούσει πια τα ψέματά σου !!! #DeepStateCorruption URL,OFF
8,28195,@USER @USER @USER έλεγχος όπλου! Αυτά ζητούν όλα αυτά τα παιδιά!,OFF
9,56117,@USER @USER @USER @USER LOL !!! Ρίχνει τη σημαία BULLSHIT σε τέτοιες ανοησίες !! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL,OFF
10,12681,@USER @USER Κάτι σαν όταν οι συντηρητικοί θέλουν να συσχετίσουν όλους στα αριστερά τους ως μέλη της κομμουνιστικής αντιφατικής;,OFF
11,82904,@USER @USER Το σκατά συμβαίνει στους ανθρώπους; Υπάρχει το ανδρικό δωμάτιο και το γυναικείο δωμάτιο Επιλέξτε ένα και κολλήστε το 🤔,OFF
12,77665,"@USER Tbh αυτές τις μέρες απλά δεν μου αρέσουν οι άνθρωποι γενικά, απλά δεν επικοινωνώ με ανθρώπους αυτές τις μέρες μόνο μια ενόχληση ..",OFF
13,25440,@USER @USER @USER Αυτή; Σε ποιον αναφέρεστε; Χίλαρι; Ξέρετε τι είναι κουραστικό; Οι υποστηρικτές του Bernie χτυπούν τη Χίλαρι Κλίντον. Είναι μια πραγματική Δημοκρατική που μαζεύει χρήματα για το Δημοκρατικό Κόμμα και δεν τους χάνει. Έχει ένα θετικό μήνυμα. Ποιος λοιπόν χωρίζει την αριστερά;,OFF
14,12609,Το μόνο πράγμα που έχουν οι Δημοκρατικοί είναι ψέματα και καθυστερούν για να αποτρέψουν τον Τραμπ από το να είναι # Πρόεδρος. Τι έχουν κάνει για εσάς τον τελευταίο καιρό. #Trump #Kavanaugh #MAGA #DEMSUCK,OFF
15,12108,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Δεν είσαι πολύ έξυπνος, έτσι; Γιατί πιστεύετε ότι η καταδίκη του στρατηγού Flynn συνεχίζει να προγραμματίζεται εκ νέου; Διεύθυνση URL",OFF
16,14726,@USER @USER @USER Αυτό αναμένεται εάν καταπραΰνετε τους βίαιους αριστερούς / τρομοκράτες. #KavanaughΕπιβεβαίωση # ξύπνησε,OFF
17,84102,4 στους 10 Βρετανούς είναι βασικά πλήρεις ρατσιστές. 4 στους 10 ψηφοφόρους ψηφίζουν τους Συντηρητικούς. Σύμπτωση!???!???,OFF
18,98992,@USER Γαμώτο,OFF
19,33853,@USER @USER Το σύστημα φυλακών είναι τόσο γαμημένο. Γιατί εξακολουθούν να ξεφεύγουν με το ενδεχόμενο δολοφονίας με πρόθεση εάν οι κρατούμενοι πεθάνουν στον τυφώνα; Το έκαναν στη Λουιζιάνα και όπως 500 κρατούμενοι εξαφανίστηκαν &quot;&quot;,OFF
20,75215,@USER @USER Είναι άχρηστη. Προσπάθειες να κάνουμε το σωστό αλλά ποτέ δεν ακολουθείται.,OFF
21,57013,Το @USER Grateful Trump δεν έχει σκύλο στον Λευκό Οίκο. Είναι ένας σκληρός άνθρωπος.,OFF
22,74831,Το @USER Trump κλωτσάει το πισινό - είναι τόσο διασκεδαστικό.,OFF
23,53264,@USER @USER @USER Είναι χαζός και χαζός σε έναν πρόεδρο. Είναι δύο για ένα.,OFF
24,84664,@USER Και αυτό από τον κλόουν που πρέπει να είναι στη φυλακή;,OFF
25,48995,@USER Αυτό είναι επειδή είσαι γέρος.,OFF
26,47153,@USER @USER @USER Είναι αποφρακτικοί. Αντι-αμερικανικό. Φαρισαίοι Ρωτήστε τους τι τρέχουν και δεν παίρνετε τίποτα. Μάγκα!,OFF
