,id,tweet,subtask_a
1,86426,"@USER @USER Gå hjem, du er fuld !!! @USER #MAGA # Trump2020 👊🇺🇸👊 URL",OFF
2,90194,@USER En person burde have taget &quot;dette stykke lort til en vulkan. 😂&quot;,OFF
3,16820,@USER Venstre er alle Kookoo !!!,
4,62688,@USER @USER Åh nej! Hård lort.,OFF
5,43605,"@USER talte bogstaveligt talt om denne lol alle masseskydder som det er blevet opsat. det er propaganda, der plejede at dele os om store spørgsmål som pistolkontrol og terrorisme",
6,97670,@USER Canada har ikke brug for endnu et CUCK! Vi har allerede nok #LooneyLeft #Liberals til at konge vores store land! #Qproofs #TrudeauMustGo,OFF
7,77444,@USER du er en liggende korrupt forræder !!! Ingen vil høre mere om dine løgne !!! #DeepStateCorruption URL,OFF
8,52415,"@USER @USER @USER pistolkontrol! Det er alt, hvad disse børn beder om!",OFF
9,45157,@USER @USER @USER @USER LOL !!! At smide BULLSHIT-flaget på sådan noget vrøvl !! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL,
10,13384,@USER @USER Sådan ligesom når konservative ønsker at knytte alle til deres venstre side som kommunistiske antifa-medlemmer?,OFF
11,82776,"@USER @USER Da fuck foregår mennesker? Der er mænds værelse og kvinderummet Vælg et, og sæt det fast 🤔",
12,42992,@USER Tbh i disse dage kan jeg bare ikke lide mennesker generelt jeg forbinder bare ikke med mennesker i disse dage bare en irritation ..,
13,28414,"@USER @USER @USER Hun? Hvem henviser du til? Hillary? Ved du hvad der er trættende? Bernie-fans støtter Hillary Clinton. Hun er en faktisk demokrat, der samler penge til det demokratiske parti og ikke baserer dem. Hun har en positiv besked. Så hvem deler venstresiden?",OFF
14,54920,"Det eneste, demokraterne har, er at lyve og standse for at forhindre Trump i at være #President. Hvad har de gjort for dig for nylig. #Trump #Kavanaugh #MAGA #DEMSUCK",
15,56392,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Du er ikke særlig smart, er du? Hvorfor tror du, at Gen Flynns dom bliver fortsat planlagt? URL",
16,86735,"@USER @USER @USER Det forventes, hvis du placerer de voldelige venstrefolk / terrorister. #Kavanaugh Bekræftelse # vågnede",
17,95686,4 ud af 10 britiske mennesker er dybest set racister. 4 ud af 10 vælgere stemmer for de konservative. Sammentræf!???!???,
18,71446,@USER Fuck off,
19,23958,"@USER @USER Fængselssystemet er så kneppet. Hvorfor slipper de stadig væk med hvad der potentielt er mord med forsæt, hvis fangerne dør i orkanen? De gjorde dette i Louisiana, og som 500 indsatte forsvandt &quot;&quot;",
