,id,tweet,subtask_a
1,86426,"@USER Hun burde spørge et par indfødte amerikanere, hvad de tager imod dette.",OFF
2,90194,"@USER @USER Gå hjem, du er fuld !!! @USER #MAGA # Trump2020 👊🇺🇸👊 URL",OFF
4,62688,@USER En person burde have taget &quot;dette stykke lort til en vulkan. 😂&quot;,OFF
6,97670,@USER Venstre er alle Kookoo !!!,OFF
7,77444,@USER @USER Åh nej! Hård lort.,OFF
8,52415,"@USER talte bogstaveligt talt om denne lol alle masseskydder som det er blevet opsat. det er propaganda, der plejede at dele os om store spørgsmål som pistolkontrol og terrorisme",OFF
10,13384,@USER Canada har ikke brug for endnu et CUCK! Vi har allerede nok #LooneyLeft #Liberals til at konge vores store land! #Qproofs #TrudeauMustGo,OFF
13,28414,@USER du er en liggende korrupt forræder !!! Ingen vil høre mere om dine løgne !!! #DeepStateCorruption URL,OFF
20,28195,"@USER @USER @USER pistolkontrol! Det er alt, hvad disse børn beder om!",OFF
21,56117,@USER @USER @USER @USER LOL !!! At smide BULLSHIT-flaget på sådan noget vrøvl !! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL,OFF
23,12681,@USER @USER Sådan ligesom når konservative ønsker at knytte alle til deres venstre side som kommunistiske antifa-medlemmer?,OFF
24,82904,"@USER @USER Da fuck foregår mennesker? Der er mænds værelse og kvinderummet Vælg et, og sæt det fast 🤔",OFF
26,77665,@USER Tbh i disse dage kan jeg bare ikke lide mennesker generelt jeg forbinder bare ikke med mennesker i disse dage bare en irritation ..,OFF
30,25440,"@USER @USER @USER Hun? Hvem henviser du til? Hillary? Ved du hvad der er trættende? Bernie-fans støtter Hillary Clinton. Hun er en faktisk demokrat, der samler penge til det demokratiske parti og ikke baserer dem. Hun har en positiv besked. Så hvem deler venstresiden?",OFF
33,12609,"Det eneste, demokraterne har, er at lyve og standse for at forhindre Trump i at være #President. Hvad har de gjort for dig for nylig. #Trump #Kavanaugh #MAGA #DEMSUCK",OFF
37,12108,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Du er ikke særlig smart, er du? Hvorfor tror du, at Gen Flynns dom bliver fortsat planlagt? URL",OFF
38,14726,"@USER @USER @USER Det forventes, hvis du placerer de voldelige venstrefolk / terrorister. #Kavanaugh Bekræftelse # vågnede",OFF
55,84102,4 ud af 10 britiske mennesker er dybest set racister. 4 ud af 10 vælgere stemmer for de konservative. Sammentræf!???!???,OFF
58,98992,@USER Fuck off,OFF
60,33853,"@USER @USER Fængselssystemet er så kneppet. Hvorfor slipper de stadig væk med hvad der potentielt er mord med forsæt, hvis fangerne dør i orkanen? De gjorde dette i Louisiana, og som 500 indsatte forsvandt &quot;&quot;",OFF
61,75215,"@USER @USER Hun er ubrugelig. Forsøg på at gøre det rigtige, men følger aldrig igennem.",OFF
63,57013,@USER Taknemmelig Trump har ikke en hund i Det Hvide Hus. Han er en grusom mand.,OFF
65,74831,@USER Trump sparker bagved - det er så sjovt.,OFF
66,53264,@USER @USER @USER Han er stum og dummere i én præsident. Det er en to for én.,OFF
69,84664,"@USER Og dette fra den klovn, der skulle være i fængsel?",OFF
71,48995,@USER Det er fordi du er en gammel mand.,OFF
72,47153,"@USER @USER @USER De er obstruktionister. Anti-amerikansk. Farisæerne. Spørg dem, hvad de kører på, og du får intet. Maga!",OFF
75,64429,@USER Jeg mener det fungerede til pistolkontrol ikke? URL,OFF
84,45068,"@USER Hun drikker så meget koolaid, hun er oppustet.",OFF
87,84667,"@USER @USER @USER @USER Institutionen lader hende kun tweet, når hun opfører sig. Hun er et vindueslick !!!!",OFF
90,93119,WTC Dette er en trussel !!! .. @ USER #Maga #QAnon #WakeUpAmerica URL,OFF
95,21379,@USER @USER @USER Ring venligst til trumf for hvad han er ... en NARCISSISTIC SOCIOPATH!,OFF
107,52252,@USER Fuck em,OFF
108,91001,@USER Godt træk .... han er den store taber,OFF
112,66349,"@USER det er bogstaveligt talt en fortælling, der er på niveau med nazisternes stans, antifa-stans, de er to sider af den samme mønt. &quot;NoooOOoOo en af disse grupper vil udrydde eller deportere alle PoC og jøder, den anden vil bare forhindre dem i at ved at gøre det, og denne sammenligning gavner modet &quot;",OFF
113,80561,"@USER @USER Der er mange dumme argumenter for pistolkontrol, men dette kan være det dummeste og mest almindelige.",OFF
121,39907,@USER @USER @USER skal du ikke dræbe mig. antifa på den anden side ...,OFF
124,77294,@USER @USER Hun er en grim sorthjertet trold-URL,OFF
126,16940,@USER Tro ikke den hype.,OFF
130,28841,@USER @USER Vi er gemt fra dig! MAGA!,OFF
135,59998,"@USER Du kan sandsynligvis forestille dig, at alle SJW-snefnug, der ikke føler sig trygge &quot;arbejder, hvor der kan være konservative, der lurer i skyggerne. Konservative er nu Ruskies i det 21. århundrede.&quot;",OFF
137,28812,"@USER Alt dette får jeg 😢 forbandet med disse hatere, der sletter dig IG uden grund ... URL",OFF
141,64776,@USER SJSHSJ DET ER MIN JOBBIT,OFF
143,69972,@USER @USER @USER Hvilken del af NO COLLUSION får du ikke ??? Dette er grunden til at du er en dumokrat,OFF
147,96789,"@USER, hvis årsagen til Farakans ulovlige værdier er, fordi han er sort eller muslim, ville det være en grund til at afskyr ham. Jeg tror, at hans ulovlige værdier simpelthen er et resultat af dårlig karakter, ligesom hans tilhængere! &quot;",OFF
148,68629,@USER Lad venstreorienterede demokrater optøve i gaderne med deres antifa-kolleger.,OFF
153,77319,"@USER @USER ANTIFA giver ikke døden trusler til professor Ford eller truer vold, hvis deres kandidat mister eller Spanky er impeached.",OFF
161,49504,"@USER Så har loven ændret sig ... du fremsætter bare en beskyldning nu dage og din skyld, indtil den er bevist uskyldig. Venstre er mentalt syge!",OFF
163,31229,@USER Dette spil suger æselkugler,OFF
165,88546,@USER Absolut burde være et søm i kisten .... for Hilliary,OFF
170,32897,@USER Han er en DUMBASS !!!!!,OFF
171,62072,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ... og #LeviStrauss ønsker pistolkontrol Hvor mange af os spekulerer på, hvorfor pokker vil de have, at vores friheder bliver taget ~ eller er det bare selektive friheder? URL",OFF
172,95444,@USER På dette tidspunkt ... Jeg tror ikke præs. Trump giver en sh * t ... og det gør jeg heller ikke! LOL URL,OFF
174,62481,"@USER donnie jr. du og din familie skylder landet en undskyldning for at have taget dine kriminelle aktiviteter ind i VORES Hvide hus. Du foret dine lommer, mens din far er uegnet og gør en hån mod vores republik. Skam dig og din familie. Retfærdighed vil sejre",OFF
177,39021,@USER Åh min Carmen. Han er så FRICKING CUTE,OFF
178,68840,@USER Chelsea er lige så skør som hendes mor,OFF
186,32916,"@USER Og den hjerneløse #DEMS vil have os til at tro, at han ikke har flertallet. Venstre er ligesom deres ledere &quot;de korrupte #Obama og #CrookedHillary er begge rigtige dårlige tabere #MAGA #TRUMP&quot;",OFF
190,18547,"@USER @USER Californiens pistolkontrol er direkte resultat af hvide mennesker bange for sorte pantere, der bruger deres ret til at bære våben. NRA havde ikke noget problem med den pistolkontrol!",OFF
193,82607,"@USER @USER Og alligevel bar millioner af tilladelser, der indeholdt mennesker, lovligt skjulte skydevåben samme dag og gjorde ikke skade på sig selv eller nogen anden. Men alligevel ønsker de at have stærkere kanonkontrol. Idioter! 🤨 Vores vidunderlige medier er nødt til at hype hændelser, der passer til deres dagsorden.",OFF
194,82339,"@USER Ja, så skader dig selv pistolkontrolfreak.",OFF
197,34510,"@USER @USER @USER Bullshit! Forordninger er gode, fordi det forhindrer de konservative fra at stribe vores land ind i afgrunden",OFF
198,53501,@USER ejeren af min culo,OFF
199,69928,Nu arret hun sig selv for livet lol # MAGA URL,OFF
200,31853,@USER du fucking -,OFF
201,13872,"Bekræft MAN! VENSTRE VING-AKTIVIST ER EN LÆRER, SOM ER HISTORISKE ÆNDRINGER! Intet hårdt bevis! #ChristineBlaseyFord Uskyldig, indtil han er bevist skyldig! #ConfirmKavanaugh #MAGA @USER #WeakRinos #Republicans",OFF
205,28985,"Jeg antager, at jeg ikke kommer til at få et svar &#39;: Hjerneløs #Liberal Stooge Ocasio-Cortez. @ BRUGER på $ 40T Politikplan URL #WakeUpAmerica DETTE ER IKKE Amerikas fremtidige STEMME Republikaner eller overgiver Amerika til disse # DEM moroner @USER #MAGA",OFF
207,74004,"@USER @USER Venstreorienterede viser endnu en gang, hvor modbydelige de kan være",OFF
208,70838,@USER Han er en beruset skøre mand.,OFF
215,15991,@USER Alle de penge havde ikke gjort dig smartere.,OFF
219,38837,"@USER Ja, vi har brug for nogle mere sammensatte bullshit-demonstranter og antifa lol-tid til en episk beatdown😉",OFF
224,16885,"@USER I øvrigt, hvorfor flytter du ikke til Haiti? Dere liberale ser ud til at skabe huller ud af store byer. Så gå et sted, hvor det allerede er et lort hul, så du ikke behøver at arbejde!",OFF
231,19514,"Bør ikke fisse, der griber @ @USER, være den, der bærer handskerne, mens du håndterer mad? #MAGA URL",OFF
234,34317,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa slår ikke faksister for at prøve at få dem til at ændre mening - de ved, det er en fortabt sag at prøve at ændre en fascists sind. De gør det for at skræmme dem til at gemme sig, for at demoralisere dem og for at stoppe spredningen af deres hadefulde ideologi. Der er ingen tvinger synspunkter på andre &quot;.&quot;",OFF
236,36289,#FireMorningJoe han er skåret ud af den samme klud som alle andre konservative. Hans misogyny og bigotry vises altid. Han er ansvarlig for Trump. URL,OFF
237,80570,"@USER @USER Virkelig skal være den mest idiotiske ting, jeg nogensinde har set.",OFF
239,86477,@USER @USER @USER @USER @USER @USER @USER @USER @USER Det fungerer. Hvis du vil kontrollere en befolkning. Australsk pistolkontrol havde ingen indflydelse på drab.,OFF
242,44015,@USER @USER Venstre ødelægger alt!,OFF
